Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LTIM.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2020-01-01,205.8865203857422,362.5842590332031,1404.969970703125,1705.415283203125,745.5869750976562,2636.314208984375,935.2149047851562,413.5321350097656,433.31646728515625,162.09718322753906,2715.622314453125,453.63653564453125,118.30496215820312,1751.2852783203125,554.4884033203125,2088.219482421875,716.8876953125,462.650146484375,605.5293579101562,612.081787109375,1972.4105224609375,205.76014709472656,1749.931396484375,519.1378784179688,1433.3946533203125,633.1512451171875,185.40733337402344,251.1308135986328,1667.08544921875,1192.206787109375,1658.3623046875,509.7279968261719,6945.33544921875,694.3093872070312,95.44644927978516,87.38031005859375,77.54509735107422,675.32421875,965.9751586914062,308.60260009765625,408.7117614746094,309.3096923828125,181.18771362304688,39.25017547607422,1900.037841796875,602.6175537109375,1132.7047119140625,3942.765625,552.3775024414062,116.6448745727539
2020-01-02,209.204833984375,367.8648681640625,1472.24609375,1702.990234375,753.8026123046875,2611.96044921875,947.894287109375,414.9737243652344,435.1327209472656,160.7454376220703,2727.90625,451.3487548828125,117.83052825927734,1758.0736083984375,551.6959838867188,2043.2919921875,739.9149780273438,463.9443664550781,609.38916015625,624.6887817382812,1969.8973388671875,211.37701416015625,1751.287109375,522.8615112304688,1476.5616455078125,631.3037109375,186.77001953125,258.9523010253906,1664.5958251953125,1224.3792724609375,1695.073486328125,512.8151245117188,6962.57568359375,691.9744873046875,95.32866668701172,87.79167938232422,77.38644409179688,686.8212280273438,959.0004272460938,313.07769775390625,409.3234558105469,308.8321228027344,190.32321166992188,40.68508529663086,1891.31591796875,605.7409057617188,1133.53857421875,4117.1591796875,559.138427734375,116.92742919921875
2020-01-03,206.33226013183594,367.2408142089844,1463.8240966796875,1665.6617431640625,739.86083984375,2570.994384765625,931.9641723632812,409.8330078125,435.0371398925781,159.41014099121094,2714.863037109375,447.9648742675781,118.2491683959961,1766.6429443359375,555.3549194335938,2004.357666015625,730.5496826171875,473.2466735839844,600.6987915039062,621.1922607421875,1972.248779296875,207.82449340820312,1741.708251953125,521.1690063476562,1476.4166259765625,641.0134887695312,185.7187957763672,255.20550537109375,1650.205810546875,1215.05078125,1686.6981201171875,506.07073974609375,6890.763671875,685.5969848632812,93.71891021728516,88.06591796875,76.55347442626953,687.6488037109375,964.6890258789062,307.9105224609375,418.4048767089844,303.91339111328125,187.7200927734375,40.58857727050781,1929.008544921875,612.89697265625,1117.9420166015625,4092.328125,554.7249145507812,118.24597930908203
2020-01-06,197.66493225097656,365.03253173828125,1440.57763671875,1623.5780029296875,720.2427368164062,2542.204833984375,901.7341918945312,390.60430908203125,429.8274230957031,154.67892456054688,2699.8984375,444.91455078125,114.81639099121094,1770.0611572265625,554.3824462890625,1973.25537109375,711.5774536132812,470.7795104980469,587.6987915039062,610.2103271484375,1920.192626953125,200.95941162109375,1730.8646240234375,508.4504699707031,1419.005615234375,634.8695678710938,183.0712432861328,247.52450561523438,1645.6748046875,1198.3955078125,1693.1190185546875,498.2339172363281,6689.5283203125,677.2839965820312,93.36555480957031,86.5575942993164,76.59313201904297,671.70068359375,972.6035766601562,294.3465881347656,414.0289306640625,298.0872497558594,182.36648559570312,39.71169662475586,1928.8328857421875,609.1806030273438,1136.4813232421875,4032.09619140625,549.2786865234375,118.74043273925781
2020-01-07,202.12242126464844,369.44903564453125,1456.5350341796875,1639.9835205078125,722.7323608398438,2542.456298828125,907.0142211914062,391.6745300292969,425.4779357910156,151.9918975830078,2712.897216796875,446.67803955078125,114.81639099121094,1775.405029296875,555.4126586914062,1967.8966064453125,716.694580078125,472.5997314453125,597.0048217773438,620.4535522460938,1903.894775390625,200.52735900878906,1735.6090087890625,505.7424621582031,1411.5213623046875,625.4607543945312,183.26589965820312,248.46121215820312,1663.898681640625,1201.808349609375,1705.821533203125,500.2762756347656,6719.16552734375,671.3694458007812,94.66120147705078,86.21476745605469,76.0378189086914,682.0344848632812,974.3844604492188,293.7929382324219,420.09881591796875,300.76153564453125,181.4332733154297,39.95084762573242,1933.566650390625,614.4785766601562,1137.805419921875,4114.54052734375,558.7626953125,120.17671203613281
2020-01-08,199.59649658203125,370.2651062011719,1451.560791015625,1644.168212890625,721.487548828125,2560.281982421875,911.9852905273438,395.80853271484375,438.6217956542969,151.62918090820312,2701.283447265625,443.0081787109375,111.74644470214844,1765.824462890625,557.9257202148438,1881.6654052734375,717.032470703125,473.8128967285156,595.4419555664062,619.3701171875,1879.1640625,199.13510131835938,1743.4254150390625,508.6923522949219,1408.5760498046875,617.1258544921875,182.3704071044922,245.88523864746094,1647.96533203125,1175.4608154296875,1683.6739501953125,498.37640380859375,6682.68994140625,676.0906982421875,94.19007110595703,84.63789367675781,75.58168029785156,676.912353515625,977.2039184570312,295.08477783203125,414.1700439453125,302.0509033203125,179.32131958007812,39.87952423095703,1976.8681640625,608.7061767578125,1121.4736328125,4189.07958984375,564.2090454101562,119.98834228515625
2020-01-09,206.03509521484375,376.16973876953125,1457.4215087890625,1685.776123046875,739.7611694335938,2582.417724609375,936.8903198242188,403.06512451171875,439.81671142578125,155.1405029296875,2681.181884765625,448.1078796386719,110.5184555053711,1774.9234619140625,562.4030151367188,1922.974365234375,731.1771850585938,469.4044189453125,602.1195068359375,621.980224609375,1909.1651611328125,202.35162353515625,1748.5760498046875,528.3745727539062,1455.9437255859375,625.1599731445312,183.61631774902344,260.4978942871094,1658.1226806640625,1197.8494873046875,1690.4666748046875,514.1451416015625,6865.73388671875,687.9389038085938,93.71891021728516,84.80929565429688,76.53362274169922,692.5025634765625,977.946044921875,304.6810302734375,413.934814453125,313.79864501953125,188.60418701171875,40.54242706298828,1941.0172119140625,611.7505493164062,1141.2386474609375,4256.05224609375,567.683349609375,119.4468002319336
2020-01-10,207.1247100830078,376.4097900390625,1463.627197265625,1704.797119140625,736.9728393554688,2595.39013671875,934.5967407226562,405.083251953125,436.8533630371094,155.04159545898438,2671.041748046875,451.3487548828125,114.5931167602539,1796.972900390625,564.8101196289062,1932.7979736328125,730.1634521484375,469.44482421875,607.4710693359375,613.706787109375,1916.3814697265625,203.0717315673828,1765.69970703125,522.523193359375,1440.106201171875,634.2682495117188,185.32945251464844,260.3105163574219,1677.6910400390625,1205.5399169921875,1694.0030517578125,519.2271118164062,6963.19287109375,689.9307861328125,94.46488952636719,85.1178207397461,76.21631622314453,692.3460083007812,978.4406127929688,306.5726013183594,417.4638366699219,326.0239562988281,192.8772430419922,40.79836654663086,1940.3154296875,613.8062744140625,1132.0181884765625,4310.951171875,563.6925048828125,118.55207061767578
2020-01-13,211.5821990966797,374.77764892578125,1461.2138671875,1716.54296875,734.3339233398438,2589.40625,942.8734741210938,407.0036926269531,448.2287292480469,155.20645141601562,2720.4912109375,455.30462646484375,118.08170318603516,1809.056640625,568.9889526367188,1918.3487548828125,733.3978271484375,474.41961669921875,609.0338745117188,615.97216796875,1919.0572509765625,202.78369140625,1802.6131591796875,520.9271850585938,1486.846435546875,664.6862182617188,186.3028106689453,260.9661865234375,1684.0643310546875,1214.7320556640625,1700.0980224609375,527.1590576171875,6984.28125,688.6342163085938,95.6034927368164,86.00910949707031,77.26742553710938,690.5789794921875,979.281494140625,305.1885070800781,418.4048767089844,337.1031188964844,192.7790069580078,41.5997314453125,1919.9798583984375,621.3973999023438,1136.8245849609375,4334.326171875,555.8518676757812,119.98834228515625
2020-01-14,212.3251190185547,373.6734924316406,1470.916259765625,1730.09521484375,744.7902221679688,2595.724609375,952.805419921875,409.78900146484375,448.6589050292969,156.06365966796875,2774.139892578125,461.5958557128906,118.8631362915039,1804.0499267578125,567.66015625,1938.1849365234375,733.6875610351562,480.7289733886719,610.6915283203125,604.9902954101562,1955.26123046875,203.50381469726562,1815.21875,519.9600219726562,1430.8353271484375,666.49072265625,189.41758728027344,263.1206359863281,1669.8238525390625,1206.905029296875,1747.5570068359375,534.3308715820312,7016.67138671875,698.516357421875,96.97767639160156,85.73486328125,77.44593811035156,684.181884765625,977.2534790039062,302.6510925292969,419.7224426269531,372.1076354980469,192.38609313964844,41.83888244628906,1934.48681640625,629.6210327148438,1144.819091796875,4348.486328125,547.9640502929688,121.11853790283203
